map_0224#7	ファーン: ああ、お前がダブルで戦うのには、正直驚いたけどな。
map_0224#8	それって、実力不足をごまかす安っぽい手段ってだけじゃないのか?
map_0224#9	アヤ: あたしがどんな形式で戦おうと、あたしの勝手でしょ。
map_0224#10	それに、これはあたしの兄が――
map_0224#11	ラナ: アヤ、また お客さんよ!
map_0224#12	アヤ: マジで、また?
map_0224#13	ファーン: タダでバッジが欲しい奴らを責めるわけにもいかないしな。
map_0224#14	アヤ: ちょっと、黙っててくれる?
map_0224#15	あたしのことは放っといて。
map_0224#16	ハーディ: 悪いタイミングだったか?
map_0224#17	ファーン: なんだ、お前か。
map_0224#18	ハーディ: ああ、オレだよ。お前こそ、ここで何やってんだ?
map_0224#19	ファーン: 雑魚掃除だよ。お前は?
map_0224#20	ハーディ: 最近新しいジムリーダーが入ったって聞いてな、挨拶に来てやろうと思ってたんだぜ。
map_0224#21	ハーディ: お前がアヤだろ?
map_0224#22	アヤ: え、うん。
map_0224#23	ハーディ: 名前はハーディ。リボーンのいわタイプジムリーダー、よろしくな!
map_0224#24	ハーディ: 本当は温かく迎えるつもりだったんだけどな……
map_0224#25	なんか、もう嫌な思いさせられちゃってるみたいだな、相棒?
map_0224#26	ファーン: 皮肉なんて言わなくて結構だぜ。
map_0224#27	アヤ: あんたたち、知り合いなの?
map_0224#28	ハーディ: 残念ながらな。
map_0224#29	オニキストレーナーズスクールで、こいつと同じクラスになる不運に見舞われてな。
map_0224#30	ファーン: 要するに、オレがトップで、こいつがただの負け犬だったから、嫉妬してるんだよ。
map_0224#31	ハーディ: そう思ってりゃいいさ、相棒。
map_0224#32	ファーン: それに、お互いの姉貴同士が仲良かったから、たまに一緒に連れ回されてたんだよな。
map_0224#33	ハーディ: ああ。まあ、全部過去の話だけどな。
map_0224#34	アヤ: はいはい、あんたたちはおしゃべり続けてなよ。
map_0224#35	あたしは隣の部屋の機械で、ポケモン回復させてくるから。
map_0224#36	ファーン: それで、\PN、もうアヤと戦うつもりか?
map_0224#37	言ったろ、完全な雑魚だって。
map_0224#38	でもまあ、わざわざここまで来て、いいバトルの一つもなかったら残念だよな。
map_0224#39	オレが力になってやるよ、な?
map_0224#41	ハーディ: ファーンがボコられるのを見るだけでも、ここまで来た価値はあるだろうな。
map_0224#42	ファーン: 黙れよ、石頭。
map_0224#43	\PNには手加減してやってただけだ。
map_0224#44	誰かを泣かせたくはないからな。
map_0224#45	ハーディ: 好きに言ってろよ、相棒。
map_0224#46	アヤ: オーケー。\PNだっけ?
map_0224#47	バトルの準備ができてるなら、始めよっか。
map_0224#48	ファーン: おお、これは見物だな。
map_0224#49	ポップコーン用意しとかないとな。
map_0224#50	ハーディ: 審判はオレがやるぜ。
map_0224#51	誰かがファーンを抑えとかないとな、それにオレも自分のジムでやり方は心得てる。
map_0224#52	アヤ: そっちの準備ができてるなら、いつでもいいよ。
map_0224#53	アヤ: 位置について。さっさと終わらせよう。
map_0224#54	ファーン: どっちに負けてほしいか、正直迷うな。
map_0224#55	アヤ: あんた、誰でもデフォルトで嫌いなわけ?
map_0224#56	ファーン: いや、お前だけだよ。
map_0224#57	ハーディ: おい、あいつには構うなよ、相棒。
map_0224#58	アヤ: ううん、いいの! 全然、平気だから。
map_0224#59	あいつの言う通りだし。
map_0224#60	あたし、これが得意ってわけでもないし。
map_0224#61	わざわざやることもないのかもね。
map_0224#62	ハーディ: おい、今は自分を疑ってる場合じゃないぜ。
map_0224#63	顔上げてけ。
map_0224#64	このバトル、絶対うまくやれるさ。
map_0224#65	アヤ: みんな、あたしのことは放っといてくれた方がマシなのに。
map_0224#66	ハーディ: 挑戦者\PN、リーダー・アヤとの6対6ダブルバトル、開始だ!
map_0224#67	アヤ: そもそも、こんなことやりたくもないんだから。
map_0224#68	ただ押し付けられただけ。
map_0224#69	ハーディ: どちらの選手も、ポケモンの交代は自由だ。
map_0224#70	どちらかのトレーナーの6匹が全て戦えなくなった時点で、バトル終了!
map_0224#71	アヤ: また、これやるの……
map_0224#72	どうして放っといてくれないの?
map_0224#73	ハーディ: 前回は、二人ともよくやってたぜ。
map_0224#74	今回も全力でいこうぜ、な?
map_0224#75	挑戦者\PN、リーダー・アヤとの再戦、6対6ダブルバトル!
map_0224#76	どちらの選手も、ポケモンの交代は自由だ。
map_0224#77	どちらかのトレーナーの6匹が全て戦えなくなった時点で、バトル終了!
map_0224#78	それじゃ、始め!
map_0224#80	アヤ: で、負けたと。
map_0224#81	まあ、これでもうあんたの相手をしなくて済むってことか。
map_0224#82	ファーン: 冷たいな。
map_0224#83	\PNがボロ負けしてくれた方が、まだよかったかもな。
map_0224#84	どうでもいいけど。じゃあな、負け犬ども!
map_0224#85	ハーディ: おい、アヤ、たかが数回負けたくらいで、そんなに落ち込むなよ、な?
map_0224#86	よくあることだし、お前はしっかり戦ってたぜ。
map_0224#87	ただ、戦う前から自分で自分を追い込んでただけだろ。
map_0224#88	アヤ: どうでもいい。
map_0224#89	ハーディ: おいおい、そんな突き放さなくてもいいだろ。
map_0224#90	アヤ: 何、あんたも拒絶されるの気にするタイプ?
map_0224#91	ハーディ: いや、お前が自分自身に冷たいって話だよ。
map_0224#92	お前はもっと大事にされていいはずだろ、な?
map_0224#93	アヤ: ……別に、どうでもいい。
map_0224#94	そもそも、こんなの望んでなかったし。
map_0224#95	あたしの仕事になるはずじゃなかったのに。
map_0224#96	でも、あのバカな弟が、あたしに押し付けたの。
map_0224#97	「バカ」の部分、強調しとくね。
map_0224#98	アヤ: あいつ、たぶんあたしたちのこと嫌いなんだと思う。
map_0224#99	ハーディ: なんでお前を嫌うんだよ?
map_0224#100	アヤ: あいつに聞いてよ。あたしがいい人間じゃないってだけかもね。
map_0224#101	でも、家出してから、誰とも話してないの。
map_0224#102	ある日、いきなり出て行っちゃって。
map_0224#103	さよならも言わずに。
map_0224#104	自分のポケモンすら、連れて行かなかった。
map_0224#105	ジムリーダーの称号を勝ち取ったのは、あいつだったのに。
map_0224#106	それなのに、突然もういいって決めたの。
map_0224#107	だから今、あたしがやらされてる。
map_0224#108	お母さんはもう、あいつの話すらしない。
map_0224#109	あたしには、こんなの向いてないのに。
map_0224#110	ハーディ: おい、もう落ち着けって、な? お前は大丈夫だ。
map_0224#111	こうしないか――しばらくここに残って、色々手伝ってやるよ。
map_0224#112	アヤ: なんで? 放っといてってば。
map_0224#113	ハーディ: いや、今それはあんまりいい手じゃないと思うぜ。
map_0224#114	まずは\PNに、正当に勝ち取ったバッジを渡すところから始めたらどうだ?
map_0224#115	それからお前とオレとで、色々話し合おうぜ、な?
map_0224#116	アヤ: わかった。
map_0224#117	アヤ: これがブライトバッジ。受け取って。
map_0224#118	\PNはブライトバッジを受け取った!
map_0224#119	アヤ: これで、レベル50までのポケモンが言うことを聞くようになる。
map_0224#120	それに、バトルの外でマシンのかいりきが使えるようになる。
map_0224#121	……それと、これも渡すことになってるんだった。
map_0224#122	アヤ: ヘドロウェーブは全員に当たって、それぞれに毒を与える可能性がある。
map_0224#123	まあ、あたしが得意なのはそういう毒をまき散らすことだけ、ってわけ。
map_0224#124	アヤ: もう行っていいよ。
map_0224#125	ハーディ: \PN、いつかアゲートシティのオレのジムで会えるのを楽しみにしてるぜ。
map_0224#126	がっかりさせるなよ、な?
map_0224#127	じゃあな!
map_0224#128	アヤ: あんたとこの話、突き詰めても意味ないから。
map_0224#129	どうせ飽きて、あたしのこと嫌いになるか、いなくなるかするんでしょ。
map_0224#130	みんなと同じように。
map_0224#131	ハーディ: ……賭けるか?
map_0224#132	アヤ: は?
map_0224#133	ハーディ: それ、賭けようぜ。
map_0224#134	アヤ: お金を?
map_0224#135	ハーディ: ああ、金を賭けてな。
map_0224#136	そんなに確信があるなら、ためらう必要なんてないだろ?
map_0224#137	もし少しでも疑いがあるなら、どうせなら試してみたらいいさ。
map_0224#138	それか、代わりに小銭でも稼いどけよ、な?
map_0224#139	アヤ: ……フン。
map_0224#140	ハーディ: 幸運を祈るぜ、相棒。
map_0224#141	ファーン: 幸運を祈っとくよ、一応。
map_0224#142	それくらいしか、お前が勝つ方法はなさそうだしな。
map_0224#143	ハーディ: 誰だって、誰かが悲しんでるのを見たいわけじゃないだろ。
map_0224#144	だから、話してみろよ、相棒。
map_0224#145	アヤ: ……なんで、あんたはあたしに構うわけ?
map_0224#146	あたしが、こういうやり方で口説けそうな無防備な女ってだけ?
map_0224#147	自己肯定感の低さが、ヒーロー気取りで助けに来い、って合図にでも見えた?
map_0224#148	ハーディ: なあ、オレが不快にさせてるなら、言ってくれ、すぐ引くから。
map_0224#149	でも、そういうつもりじゃなかったんだ。
map_0224#150	ただの挨拶のつもりが、本当に助けを必要としてそうな奴を見かけただけでな。
map_0224#151	素直に受け取ってくれないか?
map_0227#0	カイン: ここが、地震で崩れた旧ユーレユビルか……
map_0227#1	はは、なんか不気味だな?
map_0227#2	本当にここにいるのか?
map_0227#3	カイン: なあ、\PN、ここはお前についていくよ。
map_0227#4	「タッグを組む」ってやつ、ちゃんとやったことないから……
map_0227#5	や、優しくしてくれよ、せ、先輩……はじめてなんだから!
map_0227#6	カイン: おーい、準備できたか?
map_0227#7	もう十分待たせたと思うぜ。
map_0227#8	カイン: おいおい、こんな時に本当に行っちまうのか?
map_0227#9	オレはここで待ってるよ。
map_0227#10	3F ゲート開放
map_0227#11	5F ゲート開放
map_0227#12	メテオ団員: あの子、なかなかやるな……
map_0227#13	こっちで働く気、本当にないのかね?
map_0227#14	メテオ団員: まあいいさ! ボスはもう必要なものを手に入れてるだろうしな!
map_0227#15	タラ: チームメテオが再興する日が、どんどん近づいてくるね~
map_0227#16	今負けたって、関係ないの!
map_0227#17	もうすぐ、世界は本当の楽園に生まれ変わるんだから!
map_0227#18	サイモン: 俺たちは悪じゃない。
map_0227#19	ただ、物事を正そうとしているだけだ。
map_0227#20	世界を作り直す過程で、人が傷つき、命を落とすことがあっても、その苦しみは消し去られる。
map_0227#21	もしかしたら、不当な目に遭った者たちさえ、生き返らせることができるかもしれない……
map_0227#22	ヘザー: ……
map_0227#23	シグムンド: また、来ましたか。
map_0227#24	シグムンド: また来たのですね。
map_0227#25	シグムンド: 正直に言えば、この「チームメテオ」のシリウスが、あの提案を持ちかけてきたのは幸運でした。
map_0227#26	彼には、逃げた子どもたちを捕らえる手段があり、その報酬として求めたのは、この少女からある物ひとつを引き出すことだけでした――
map_0227#27	ルビーのゆびわです。
map_0227#28	カイン: 指輪だけが目的なら、なんで彼女をここに閉じ込めてるんだよ?
map_0227#29	シグムンド: 私自身にも、同じ問いをしています。
map_0227#30	ご心配なら言っておきますが、治療の必要はありません。
map_0227#31	シリウスの依頼で、彼女を拘束し、尋問することになっていました。
map_0227#32	しかし、彼女がここまで無言になってしまった以上、それが実を結ばないのは明白です……
map_0227#33	カイン: それ、誰のせいだと思ってるんだ?
map_0227#34	あんたが彼女にしたことのせいで、もう口すらきけないかもしれないんだぞ!
map_0227#35	シグムンド: 発話能力の喪失は、電気けいれん療法の副作用には含まれません。
map_0227#36	私の専門分野くらい、信頼していただきたいものです。
map_0227#37	彼女は間違いなく、話す能力を失ってはいません。
map_0227#38	失ったのは、意志だけです。
map_0227#39	それでも、あなたはすでに私について、ある種の像を作り上げているようですね。
map_0227#40	私が何を言おうと、戦うおつもりですか?
map_0227#41	シグムンド: それも結構。
map_0227#42	でしたら、先へ進むのは止めません。
map_0227#43	シグムンド: この「チームメテオ」に関わってはいますが、彼らの悪意ある行動に共感しているわけではありません。
map_0227#44	それでも、私が彼らに従っているのは、まったく別の理由からです――
map_0227#45	ひとえに、私自身の個人的な好奇心の問題です。
map_0227#46	彼らの幹部の間で、ある名前が飛び交うのを耳にしました。
map_0227#47	かつて私が知っていた名前ですが、まさかそんなはずは……
map_0227#49	失礼、話しすぎました。
map_0227#50	今回だけは、見て見ぬふりをしましょう。
map_0227#51	あなた方が逃げる時、この少女があなた方に加わるのを、私は止めません。
map_0227#52	どのみち、ここは治療環境と呼べる場所ではありませんから……
map_0227#53	シグムンド: それでいいでしょう。
map_0227#55	それでも、これはすぐに片がつくはずです。
map_0227#56	カイン: ヘザー、大丈夫か?
map_0227#57	カイン: うへえ。まだ何も、か?
map_0227#58	どうしたんだよ……?
map_0227#59	シグムンド: 今は、バトルに付き合う気分ではありません。
map_0227#60	代わりに、考えなければならないことが多くありますので……
map_0227#61	今後も同じ配慮を期待しないことです。
map_0227#62	シリウス: そうか、ドクター?
map_0227#63	アンナ: \PN! カイン!
map_0227#64	カイン: おーい、やっと着いたぞ!
map_0227#65	シリウス: 患者を守り切れなかった挙句、私に尻拭いをさせようというのか?
map_0227#66	シグムンド: ただ報告していただけです……
map_0227#67	シリウス: ドクター、子どもたちを捕らえておくのは、あなたの目的だ――私のではない。
map_0227#68	私が求めていたのは、ある品物ひとつだけだ。
map_0227#69	シグムンド: 彼らを留め置くよう主張したのは、あなたの――
map_0227#70	シリウス: もっとも、二つとも見つかるとは思っていなかったがな。
map_0227#71	シリウス: 入る前にノックすることを、誰も教えなかったのか?
map_0227#72	ここは私の私室だ。
map_0227#73	相応の礼儀を求めたいものだな。
map_0227#74	ドクターはもう怯んだのか?
map_0227#75	下で騒ぎが聞こえなかったが。
map_0227#76	カイン: 抵抗すらしなかったぜ。
map_0227#77	シリウス: ボケた老人め。
map_0227#78	子どもたちを拘束したがっていたのは、あの男の方だ。
map_0227#79	有益な協力関係になると思っていたのだが、
map_0227#80	あの男ときたら「ストレス反応」だの「トラウマ的出来事」だの、延々とたわ言を並べる……
map_0227#81	まあ、雇い人としては役に立っていたがな。
map_0227#82	それに……
map_0227#83	不思議なものだな。
map_0227#84	ルビーを捕らえるだけでよかったのに、アメジストまで手に入った。
map_0227#85	アンナ: あたしのペンダント、返して!
map_0227#86	それ――それだけが、お父さんの残した唯一のものなの……
map_0227#87	シリウス: お前の父親?
map_0227#89	ああ。
map_0227#90	面影があるようだな。
map_0227#91	アンナ: あたしのお父さんを知ってるの?!
map_0227#92	シリウス: あの男は愚か者だった。
map_0227#93	粗野で、目先しか見えない類のな。
map_0227#94	歴史が、必死に忘れようとする類の男だ。
map_0227#95	アンナ: そんなこと言わないで!
map_0227#96	シリウス: ああ、だが真実だ。
map_0227#97	あの男がお前に与えた、そのご大層なペンダントの宝石は――
map_0227#98	最初から、お前の知るような輝く磨かれた結晶だったわけではない。
map_0227#99	石は、削られて初めて形を得る。
map_0227#100	人間も同じだ。
map_0227#101	切り方を誤れば、石は砕けることもある。
map_0227#102	そして、お前の父親という、あの惨めで裏切り者の粗野な男は……
map_0227#103	まさに、見事なまでに砕けていたよ。
map_0227#104	カイン: おいおい、しゃべるのやめて、その子のもの返してやったらどうだ?
map_0227#105	シリウス: それが私のすべきことだと?
map_0227#106	この対立は、うんざりするほど無意味だな。
map_0227#107	シリウス: 「彼女の」もの、か。
map_0227#108	それは、彼女が生まれる前から我々のものだった。
map_0227#109	このアメジストのペンダントも、ルビーのゆびわも。
map_0227#110	お前たちは、その真の価値の欠片すら理解していない。
map_0227#111	ただの感傷ごときで、これらを手放すつもりはない。
map_0227#112	カイン: だったら、力ずくでやらせてもらうぜ!
map_0227#113	行くぞ、\PN!
map_0227#115	シリウス: もういい!
map_0227#116	この対立は、腹立たしいほど無意味だ!
map_0227#117	そんなつまらない勝利ひとつで、状況を掌握したつもりになるな。
map_0227#118	なにしろ……
map_0227#119	アンナ: いたっ――
map_0227#120	シリウス: これ以上、言う必要があるか?
map_0227#121	シグムンド: シリウス、これは看過できません。
map_0227#122	シリウス: だが、止めることもできまい。
map_0227#123	アンナ: カイン……?
map_0227#124	カイン: おい――おい、やめろ――
map_0227#125	誰もこんなこと望んでないだろ?
map_0227#126	話し合いで解決できるだろ?
map_0227#127	シリウス: さあ、どうだろうな。
map_0227#128	カイン: 待てよ――そうだ。
map_0227#129	なあ、荷物をなくしただろ?
map_0227#130	これ、オレが拾ったんだ――あんたに届くはずだったやつだろ。
map_0227#131	この、ええと、緑の結晶みたいなやつ?
map_0227#132	シリウス: ……エメラルドのブローチを持っているのか。
map_0227#133	あの狂信者の娘が、まだ持っていると思っていたが。
map_0227#134	どうやら、本当に歴史が作られつつあるようだ。
map_0227#135	なら、ブローチと彼女の命を交換だ。
map_0227#136	カイン: ああ、なんでも、いいから……
map_0227#137	シリウス: よこせ、坊主。ゆっくりとだ――急な動きはするな。
map_0227#138	カインはエメラルドのブローチを手渡した!
map_0227#139	シリウス: 行け。
map_0227#140	アンナ: え、えっと……
map_0227#141	ねえ、その、ノストラが、今すぐここを出ないとって言ってる……
map_0227#142	カイン: 二度言われる必要もないぜ。
map_0227#143	とっとと逃げよう!
map_0227#144	シリウス: 四つのうち、すでに三つを手にしたか……
map_0227#145	なんとも見事なことだ。
map_0227#146	シグムンド: シリウス、少々……懸念があります。
map_0227#147	シリウス: 今はやめておけ、ドクター。
map_0227#148	お前はもう十分役立たずだ。
map_0227#149	それとも、自ら足手まといになろうというのか?
map_0227#150	シグムンド: 私は……
map_0227#151	シリウス: 下がれ。
map_0227#152	シリウス: ……いや、待て。
map_0227#153	何かがおかしい。
map_0227#154	この光沢は、どうも……
map_0227#155	シリウス: これはブローチではないな。
map_0227#156	騙されたのか?
map_0227#157	いや、これは結晶ですらない――こんな切れ方はしない。
map_0227#158	だが、これは以前に見たことがある、この……
map_0227#159	いや、これは――
map_0227#160	ヴァーディグナイトだ!
map_0227#161	シェリー: 今の爆発、何?!
map_0227#162	カイン: わかんねえ、とにかく走れ!
map_0227#163	ノエル: アンナ、大丈夫か?
map_0227#164	アンナ: だ、大丈夫! 何ともない!
map_0227#165	シャルロット: ヘザー、遅れないで!
map_0227#166	もうすぐここから出られるから!
map_0227#167	カイン: シェリー!
map_0227#168	メテオ団員: それ以上近づくな、じゃないとこいつの喉をかっ切るぞ。
map_0227#169	シェリー: \PN……
map_0227#170	カ、カイン……
map_0227#171	メテオ団員: そのまま進め、そうすりゃ何も見なかったことにしてやる。わかったか?
map_0227#172	シェリー: 怖い……
map_0227#173	カイン: 彼女には手を出さないって言ったよな!
map_0227#174	メテオ団員: お前らが邪魔しなければな。
map_0227#175	カイン: おい、待てよ……
map_0227#176	シェリー: だ、大丈夫……
map_0227#177	い、行って……
map_0227#178	私に何が起きても……関係ないから……
map_0227#179	み、みんなを見つけて……いいから……?
map_0227#180	カイン: くそ……
map_0227#181	ごめんな、シェリー。
map_0227#182	必ず助けに戻る! 約束だ!
map_0227#183	メテオ団員: おい! こいつを傷つけたくなきゃ下がれ。
map_0227#184	カイン: シャルロット!
map_0227#185	シャルロット: やっと来たね、お姫様。
map_0227#186	カイン: できる限り急いで来たんだよ!
map_0227#187	……いつもの手段じゃなかったけどな。
map_0227#188	メテオ団員: 下がれ、じゃなきゃこいつを殺すぞ!
map_0227#189	シャルロット: 本気で言ってる?
map_0227#190	まだそれ続けるつもり?
map_0227#191	メテオ団員: いや、その、まあ、
map_0227#192	ボスにそう言えって言われてるからさ……
map_0227#193	シャルロット: シリウス、でしょ?
map_0227#194	まあいいや、今はもう忘れよう。
map_0227#195	ほら、あたしの友達に会って。
map_0227#196	こっちが\PNで、こっちがお姫様。
map_0227#197	\PN、お姫様、サイモンとタラだよ。
map_0227#198	サイモン: もう会ってる。
map_0227#199	タラ: そうそう、\PNには前にやられたし。
map_0227#200	あれ、まだ根に持ってるんだから!
map_0227#201	カイン: 公平に言って、先に仕掛けたのそっちじゃなかったか?
map_0227#202	ちょっと待て待て待て、シャルロット――
map_0227#203	「友達」ってどういうことだよ?
map_0227#204	チームメテオと?
map_0227#205	シャルロット: あいつらだって、人間だよ。
map_0227#206	たまたま、あんたと違う側にいるってだけ。
map_0227#207	カイン: それにお前も!
map_0227#208	シャルロット: 細かいことは置いといて。
map_0227#209	どのみち、縛られてるよりマシでしょ。
map_0227#210	サイモン: 世間話をしたからって、そのまま見逃すわけにはいかない。
